Score,Armor Class,Armor Name,Weapon Name,Build Name,Subclass Type,Super,Class Ability,Jump,Melee,Grenade,Aspects,Fragment Slots,Fragments,Description
1030,Hunter,"Gyrfalcon's Hauberk","Collective Obligation","The Abyssal Desolation","Void Hunter","Shadowshot: Deadfall","Marksman's Dodge","Triple Jump","Snare Bomb","Vortex Grenade","Vanishing Step; Stylish Executioner",4,"Echo of Starvation; Echo of Persistence; Echo of Instability; Echo of Undermining","Gyrfalcon's Hauberk synergizes with Collective Obligation by ability: neutral / any. Focus on weakening foes and feeding the Void for devour. Tether enemies and suppress their abilities. Your aspects (Vanishing Step + Stylish Executioner) amplify this synergy. Additional synergies: **GOD ROLL**: God Roll: Volatile rounds on demand perfectly loops Collective Obligation's leach., Void Synergy"
1020,Hunter,"Star-Eater Scales","Bad Juju","The Praxic Mastery","Void Hunter","Shadowshot: Deadfall","Marksman's Dodge","Triple Jump","Snare Bomb","Vortex Grenade","Vanishing Step; Stylish Executioner",4,"Echo of Starvation; Echo of Persistence","Star-Eater Scales synergizes with Bad Juju by ability: neutral / any. Focus on versatile damage output. Tether enemies and suppress their abilities. Your aspects (Vanishing Step + Stylish Executioner) amplify this synergy. Additional synergies: **GOD ROLL**: Fastest Super: Bad Juju feeds Star-Eater feast stacks., Super"
1020,Hunter,"Mothkeeper's Wraps","Ex Diris","The Voltaic Surge","Arc Hunter","Gathering Storm","Gambler's Dodge","Triple Jump","Combination Blow","Flashbang Grenade","Flow State; Lethal Current",4,"Spark of Resistance; Spark of Feedback; Spark of Shock; Spark of Ions","Mothkeeper's Wraps synergizes with Ex Diris by ability: neutral / any. Focus on chaining lightning and becoming amplified. Summon an arc storm to control the battlefield. Your aspects (Flow State + Lethal Current) amplify this synergy. Additional synergies: **GOD ROLL**: Official Synergy: Ex Diris kills create moths., Blind"
1010,Warlock,"Necrotic Grip","Osteo Striga","The Legendary Dominance","Solar Warlock","Well of Radiance","Healing Rift","Strafe Glide","Celestial Fire","Solar Grenade","Touch of Flame; Feed the Void",5,"Ember of Solace; Echo of Starvation","Necrotic Grip synergizes with Osteo Striga by ability: neutral / any. Focus on versatile damage output. Plant your Well to empower allies and provide sanctuary. Your aspects (Touch of Flame + Feed the Void) amplify this synergy. Additional synergies: **GOD ROLL**: Official Synergy: Spreads poison on every kill., Poison"
1010,Warlock,"Necrotic Grip","Thorn","The Tactical Protocol","Solar Warlock","Well of Radiance","Healing Rift","Strafe Glide","Celestial Fire","Solar Grenade","Touch of Flame; Feed the Void",5,"Ember of Solace; Echo of Starvation","Necrotic Grip synergizes with Thorn by ability: neutral / any. Focus on versatile damage output. Plant your Well to empower allies and provide sanctuary. Your aspects (Touch of Flame + Feed the Void) amplify this synergy. Additional synergies: **GOD ROLL**: Official Synergy: Melee kills poison, Thorn kills spread poison., Devour"
1010,Titan,"Doom Fang Pauldron","Monte Carlo","The Obsidian Oblivion","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Doom Fang Pauldron synergizes with Monte Carlo by ability: sentinel shield. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: **GOD ROLL**: Super Loop: Void melee kills give Super; Monte Carlo gives melee., Melee"
1010,Warlock,"Sunbracers","Monte Carlo","The Sunbreaker's Fury","Solar Warlock","Well of Radiance","Healing Rift","Strafe Glide","Celestial Fire","Solar Grenade","Touch of Flame; Icarus Dash",4,"Ember of Ashes; Ember of Blistering; Ember of Empyrean; Ember of Solace","Sunbracers synergizes with Monte Carlo by ability: solar grenade. Focus on igniting enemies and sustaining through Solar restoration. Plant your Well to empower allies and provide sanctuary. Your aspects (Touch of Flame + Icarus Dash) amplify this synergy. Additional synergies: **GOD ROLL**: Infinite Solar Grenades: Monte Carlo guarantees melee uptime for Sunbracers proc., Melee"
1010,Titan,"Wishful Ignorance","Monte Carlo","The Threadbound Convergence","Strand Titan","Bladefury","Towering Barricade","Strafe Lift","Frenzied Blade","Shackle Grenade","Banner of War; Into the Fray",4,"Thread of Warding; Thread of Fury; Thread of Continuity; Thread of Generation","Wishful Ignorance synergizes with Monte Carlo by ability: frenzied blade. Focus on unraveling enemies and suspending threats. Use your Bladefury strategically. Your aspects (Banner of War + Into the Fray) amplify this synergy. Additional synergies: **GOD ROLL**: S-Tier Melee Loop: Continuous Frenzied Blade charges for maximum damage uptime., Melee"
1000,Warlock,"Necrotic Grip","Touch of Malice","The Eternal Mastery","Solar Warlock","Well of Radiance","Healing Rift","Strafe Glide","Celestial Fire","Solar Grenade","Touch of Flame; Feed the Void",5,"Ember of Solace; Echo of Starvation","Necrotic Grip synergizes with Touch of Malice by ability: neutral / any. Focus on versatile damage output. Plant your Well to empower allies and provide sanctuary. Your aspects (Touch of Flame + Feed the Void) amplify this synergy. Additional synergies: **GOD ROLL**: Official Synergy: Charged shot poisons targets."
1000,Hunter,"Ophidia Spathe","Monte Carlo","The Praxic Dominance","Void Hunter","Shadowshot: Deadfall","Marksman's Dodge","Triple Jump","Snare Bomb","Vortex Grenade","Vanishing Step; Stylish Executioner",4,"Echo of Starvation; Echo of Persistence","Ophidia Spathe synergizes with Monte Carlo by ability: neutral / any. Focus on versatile damage output. Tether enemies and suppress their abilities. Your aspects (Vanishing Step + Stylish Executioner) amplify this synergy. Additional synergies: **GOD ROLL**: Infinite Knives: Twice the melee charges + Monte Carlo recharge."
1000,Warlock,"Osmiomancy Gloves","Verglas Curve","The Frozen Grip","Stasis Warlock","Winter's Wrath","Healing Rift","Strafe Glide","Penumbral Blast","Coldsnap Grenade","Iceflare Bolts; Bleak Watcher",4,"Whisper of Refraction; Whisper of Durance; Whisper of Hedrons; Whisper of Chains","Osmiomancy Gloves synergizes with Verglas Curve by ability: neutral / any. Focus on freezing targets and shattering crystals. Use your Winter's Wrath strategically. Your aspects (Iceflare Bolts + Bleak Watcher) amplify this synergy. Additional synergies: **GOD ROLL**: Cold Loop: Verglas crystals and Osmiomancy coldsnaps feed each other."
1000,Warlock,"Mantle of Battle Harmony","Ager's Scepter","The Hoarfrost's Crystallization","Stasis Warlock","Winter's Wrath","Healing Rift","Strafe Glide","Penumbral Blast","Coldsnap Grenade","Iceflare Bolts; Bleak Watcher",4,"Whisper of Refraction; Whisper of Durance; Whisper of Hedrons; Whisper of Chains","Mantle of Battle Harmony synergizes with Ager's Scepter by ability: neutral / any. Focus on freezing targets and shattering crystals. Use your Winter's Wrath strategically. Your aspects (Iceflare Bolts + Bleak Watcher) amplify this synergy. Additional synergies: **GOD ROLL**: Super Consumption: Ager uses Super; Mantle helps build it back fast."
1000,Warlock,"Getaway Artist","Praxic Blade","The Lightning's Tempest","Arc Warlock","Chaos Reach","Healing Rift","Strafe Glide","Ball Lightning","Storm Grenade","Arc Soul; Electrostatic Mind",4,"Spark of Magnitude; Spark of Shock; Spark of Discharge; Spark of Ions","Getaway Artist synergizes with Praxic Blade by ability: arc soul. Focus on chaining lightning and becoming amplified. Channel arc energy to eliminate high-priority targets. Your aspects (Arc Soul + Electrostatic Mind) amplify this synergy. Additional synergies: **GOD ROLL**: ABSOLUTE META: Unlimited special ammo and incredible durability loop."
945,Hunter,"Lucky Pants","Malfeasance","The Darkweaver's Balance","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","Lucky Pants synergizes with Malfeasance by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: **GOD ROLL**: God Roll: Illegal Holster applies massive damage stacks to Malfeasance shots., Buffs Hand Cannon"
945,Hunter,"Lucky Pants","The Last Word","The Convergence Duality","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","Lucky Pants synergizes with The Last Word by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: **GOD ROLL**: God Roll: Hand Cannon damage boost makes Last Word a DPS monster., Buffs Hand Cannon"
945,Titan,"Actium War Rig","Sweet Business","The Prismatic Convergence","Prismatic Titan","Twilight Arsenal","Towering Barricade","Strafe Lift","Thunderclap","Glacier Grenade","Consecration; Diamond Lance",4,"Facet of Courage; Facet of Dawn; Facet of Honor; Facet of Balance","Actium War Rig synergizes with Sweet Business by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Unleash Light and Dark weaponry in a transcendent fury. Your aspects (Consecration + Diamond Lance) amplify this synergy. Additional synergies: **GOD ROLL**: God Roll: Never stop firing; Actium keeps the drum full constantly., Buffs Auto Rifle"
945,Titan,"Stronghold","Praxic Blade","The Prisma Unity","Prismatic Titan","Twilight Arsenal","Towering Barricade","Strafe Lift","Thunderclap","Glacier Grenade","Consecration; Diamond Lance",4,"Facet of Courage; Facet of Dawn; Facet of Honor; Facet of Balance","Stronghold synergizes with Praxic Blade by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Unleash Light and Dark weaponry in a transcendent fury. Your aspects (Consecration + Diamond Lance) amplify this synergy. Additional synergies: **GOD ROLL**: ABSOLUTE META: Defensive powerhouse using Praxic Blade projectile properties., Buffs Sword"
927,Hunter,"Gyrfalcon's Hauberk","Collective Obligation","The Prismatic Balance","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","Gyrfalcon's Hauberk synergizes with Collective Obligation by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: **GOD ROLL**: God Roll: Volatile rounds on demand perfectly loops Collective Obligation's leach., Void Synergy"
918,Hunter,"Star-Eater Scales","Bad Juju","The Prismatic Unity","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","Star-Eater Scales synergizes with Bad Juju by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: **GOD ROLL**: Fastest Super: Bad Juju feeds Star-Eater feast stacks., Super"
918,Hunter,"Mothkeeper's Wraps","Ex Diris","The Prismatic Harmony","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","Mothkeeper's Wraps synergizes with Ex Diris by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: **GOD ROLL**: Official Synergy: Ex Diris kills create moths., Blind"
909,Warlock,"Necrotic Grip","Osteo Striga","The Prisma Harmony","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Necrotic Grip synergizes with Osteo Striga by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: **GOD ROLL**: Official Synergy: Spreads poison on every kill., Poison"
909,Warlock,"Necrotic Grip","Thorn","The Darkweaver's Spectrum","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Necrotic Grip synergizes with Thorn by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: **GOD ROLL**: Official Synergy: Melee kills poison, Thorn kills spread poison., Devour"
900,Warlock,"Necrotic Grip","Touch of Malice","The Darkweaver's Spectrum","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Necrotic Grip synergizes with Touch of Malice by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: **GOD ROLL**: Official Synergy: Charged shot poisons targets."
900,Hunter,"Ophidia Spathe","Monte Carlo","The Convergence Harmony","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","Ophidia Spathe synergizes with Monte Carlo by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: **GOD ROLL**: Infinite Knives: Twice the melee charges + Monte Carlo recharge."
900,Warlock,"Osmiomancy Gloves","Verglas Curve","The Lightweaver's Convergence","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Osmiomancy Gloves synergizes with Verglas Curve by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: **GOD ROLL**: Cold Loop: Verglas crystals and Osmiomancy coldsnaps feed each other."
900,Warlock,"Mantle of Battle Harmony","Ager's Scepter","The Prismatic Harmony","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Mantle of Battle Harmony synergizes with Ager's Scepter by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: **GOD ROLL**: Super Consumption: Ager uses Super; Mantle helps build it back fast."
130,Titan,"Mask of the Quiet One","Collective Obligation","The Voidstalker's Hunger","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Mask of the Quiet One synergizes with Collective Obligation by void synergy. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Ability: Void Subclass, Buffs Pulse Rifle"
130,Titan,"Khepri's Horn","Tarrabah","The Incandescent Inferno","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","Khepri's Horn synergizes with Tarrabah by solar synergy. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Ability: Solar Subclass, Buffs Submachine Gun"
130,Titan,"Eternal Warrior","Trespasser","The Arc Storm Tempest","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Touch of Thunder; Knockout",4,"Spark of Resistance; Spark of Shock; Spark of Magnitude; Spark of Ions","Eternal Warrior synergizes with Trespasser by arc synergy. Focus on chaining lightning and becoming amplified. Become a missile and obliterate targets. Your aspects (Touch of Thunder + Knockout) amplify this synergy. Additional synergies: Ability: Fist of Havoc, Buffs Sidearm"
120,Titan,"Mask of the Quiet One","Graviton Lance","The Void's Dominion","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Mask of the Quiet One synergizes with Graviton Lance by void synergy. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Ability: Void Subclass, Buffs Pulse Rifle"
120,Hunter,"Lucky Raspberry","Symmetry","The Lightning's Tempest","Arc Hunter","Gathering Storm","Gambler's Dodge","Triple Jump","Combination Blow","Flashbang Grenade","Flow State; Lethal Current",4,"Spark of Resistance; Spark of Feedback; Spark of Shock; Spark of Ions","Lucky Raspberry synergizes with Symmetry by arc synergy. Focus on chaining lightning and becoming amplified. Summon an arc storm to control the battlefield. Your aspects (Flow State + Lethal Current) amplify this synergy. Additional synergies: Ability: Arcbolt Grenade, Buffs Scout Rifle"
120,Titan,"Hallowfire Heart","Polaris Lance","The Solar Flare Inferno","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","Hallowfire Heart synergizes with Polaris Lance by solar synergy. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Ability: Solar Subclass, Buffs Scout Rifle"
120,Titan,"Hallowfire Heart","Skyburner's Oath","The Radiant Inferno","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","Hallowfire Heart synergizes with Skyburner's Oath by solar synergy. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Ability: Solar Subclass, Buffs Scout Rifle"
120,Titan,"Khepri's Horn","Xenophage","The Solar Flare Embrace","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","Khepri's Horn synergizes with Xenophage by solar synergy. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Ability: Solar Subclass, Buffs Machine Gun"
120,Titan,"Khepri's Horn","Heir Apparent","The Phoenix Radiance","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","Khepri's Horn synergizes with Heir Apparent by solar synergy. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Ability: Solar Subclass, Buffs Machine Gun"
120,Titan,"No Backup Plans","Slayer's Fang","The Shadowbinder's Eclipse","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","No Backup Plans synergizes with Slayer's Fang by void synergy. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Ability: Void Subclass, Buffs Shotgun"
120,Titan,"No Backup Plans","Tractor Cannon","The Graviton Desolation","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","No Backup Plans synergizes with Tractor Cannon by void synergy. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Ability: Void Subclass, Buffs Shotgun"
110,Titan,"Icefall Mantle","Winterbite","The Hoarfrost's Crystallization","Stasis Titan","Glacial Quake","Towering Barricade","Strafe Lift","Shiver Strike","Glacier Grenade","Tectonic Harvest; Howl of the Storm",4,"Whisper of Chains; Whisper of Shards; Whisper of Rime; Whisper of Conduction","Icefall Mantle synergizes with Winterbite by stasis synergy. Focus on freezing targets and shattering crystals. Shatter the battlefield with stasis might. Your aspects (Tectonic Harvest + Howl of the Storm) amplify this synergy. Additional synergies: Ability: Stasis Subclass, Stasis Synergy"
100,Titan,"Hoarfrost-Z","Winterbite","The Glacial Shattering","Stasis Titan","Glacial Quake","Towering Barricade","Strafe Lift","Shiver Strike","Glacier Grenade","Tectonic Harvest; Howl of the Storm",4,"Whisper of Chains; Whisper of Shards; Whisper of Rime; Whisper of Conduction","Hoarfrost-Z synergizes with Winterbite by stasis synergy. Focus on freezing targets and shattering crystals. Shatter the battlefield with stasis might. Your aspects (Tectonic Harvest + Howl of the Storm) amplify this synergy. Additional synergies: Ability: Stasis Subclass, Stasis Synergy"
100,Warlock,"Phoenix Protocol","Red Death Reformed","The Sunbreaker's Immolation","Solar Warlock","Well of Radiance","Healing Rift","Strafe Glide","Celestial Fire","Solar Grenade","Touch of Flame; Icarus Dash",4,"Ember of Ashes; Ember of Blistering; Ember of Empyrean; Ember of Solace","Phoenix Protocol synergizes with Red Death Reformed by solar synergy. Focus on igniting enemies and sustaining through Solar restoration. Plant your Well to empower allies and provide sanctuary. Your aspects (Touch of Flame + Icarus Dash) amplify this synergy. Additional synergies: Ability: Well of Radiance, Buffs Pulse Rifle"
